tactic_labels,technique_labels,sub_technology_labels,text
['TA0007'],['T1057'],['T1057'],monitor api call may attempt get information running process system.
"['TA0005', 'TA0004']",['T1055'],['T1055.011'],monitor api call related enumerating manipulating ewm getwindowlong setwindowlong .
['TA0005'],['T1036'],['T1036.009'],monitor api call fork() abused masquerade manipulate process metadata.
['TA0005'],['T1218'],['T1218'],"monitor api call bypass process and/or signature based defense proxying execution malicious content signed, otherwise trusted, binaries."
"['TA0005', 'TA0003']",['T1542'],['T1542'],monitor api call may abuse pre-os boot mechanism way establish persistence system.
['TA0006'],['T1555'],['T1555.003'],monitor api call may acquire credential web browser reading file specific target browser.
['TA0006'],['T1003'],['T1003.001'],monitor api call may attempt access credential material stored process memory local security authority subsystem service (lsass).
"['TA0006', 'TA0007']","['T1033', 'T1003']","['T1033', 'T1003']","monitor api call may attempt dump credential obtain account login credential material, normally form hash clear text password, operating system software."
['TA0007'],['T1120'],['T1120'],monitor api call may attempt gather information attached peripheral device component connected computer system.
['TA0007'],['T1087'],['T1087.002'],"monitor api call may attempt gather information domain account type user, privilege groups."
['TA0007'],['T1614'],['T1614.001'],monitor api call may attempt gather information system language victim order infer geographical location host.
['TA0007'],['T1049'],['T1049'],monitor api call may attempt get listing network connection compromised system currently accessing remote system querying information network.
['TA0007'],['T1518'],['T1518.001'],"monitor api call may attempt get listing security software, configurations, defensive tools, sensor installed system cloud environment."
['TA0007'],['T1518'],['T1518'],monitor api call may attempt get listing software software version installed system cloud environment.
['TA0007'],['T1082'],['T1082'],"monitor api call may attempt get detailed information operating system hardware, including version, patches, hotfixes, service packs, architecture."
['TA0005'],['T1564'],['T1564'],monitor api call may attempt hide artifact associated behavior evade detection.
"['TA0003', 'TA0004']",['T1547'],['T1547'],monitor api call may configure system setting automatically execute program system boot logon maintain persistence gain higher-level privilege compromised systems.
"['TA0003', 'TA0004']",['T1543'],['T1543.003'],monitor api call may create modify window service (ex: createservicew()) repeatedly execute malicious payload part persistence.
"['TA0003', 'TA0004']",['T1543'],['T1543'],monitor api call may create modify system-level process repeatedly execute malicious payload part persistence.
['TA0005'],['T1070'],['T1070'],"monitor api call may delete alter generated artifact host system, including log captured file quarantined malware."
['TA0005'],['T1070'],['T1070.006'],monitor api call may delete alter generated artifact host system.
"['TA0005', 'TA0007']",['T1497'],"['T1497.001', 'T1497.002']",monitor api call may employ various mean detect avoid virtualization analysis environments.
"['TA0005', 'TA0007']",['T1497'],['T1497.003'],monitor api call may employ various time-based method detect avoid virtualization analysis environments.
['TA0007'],['T1083'],['T1083'],monitor api call may enumerate file directory may search specific location host network share certain information within file system.
['TA0005'],['T1218'],['T1218.002'],monitor api call may forge web cooky used gain access web application internet services.
['TA0007'],['T1124'],['T1124'],monitor api call may gather system time and/or time zone local remote system.
['TA0007'],['T1135'],['T1135'],monitor api call may look folder drive shared remote system mean identifying source information gather precursor collection identify potential system interest lateral movement.
['TA0006'],['T1555'],['T1555.005'],monitor api call may search common password storage location obtain user credentials.
['TA0009'],['T1005'],['T1005'],"monitor api call may search local system sources, file system local databases, find file interest sensitive data prior exfiltration."
"['TA0005', 'TA0004']",['T1134'],['T1134.004'],"monitor api call createprocess/createprocessa, specifically user/potentially malicious process parameter explicitly assigning ppids (ex: process creation flag 0x8xxx, indicating process created extended startup information)."
"['TA0005', 'TA0003', 'TA0006']",['T1556'],['T1556.001'],monitor api call openprocess used manipulate lsass.exe running domain controller
"['TA0009', 'TA0006']",['T1056'],['T1056'],"monitor api call setwindowshook, getkeystate, getasynckeystate"
"['TA0009', 'TA0006']",['T1056'],['T1056.001'],"monitor api call setwindowshook, getkeystate, getasynckeystate."
"['TA0009', 'TA0006']",['T1056'],['T1056.004'],"monitor api call setwindowshookex setwineventhook functions, install hook procedure."
"['TA0005', 'TA0004']",['T1134'],['T1134'],"monitor api calls, loaded payload, token manipulation careful analysis user network activity, examination running processes, correlation endpoint network behavior."
"['TA0005', 'TA0004']",['T1134'],['T1134.005'],"monitor api calls, powershell's get-aduser cmdlet window api dsaddsidhistory function, examine data user??s sid-history attributes, especially user sid-history value domain."
"['TA0002', 'TA0008']","['T1559', 'T1021']","['T1021.003', 'T1559.001']",monitor com object loading dlls module typically associated application.
['TA0005'],['T1218'],['T1218.002'],"monitor dll/pe file events, control_rundll controlrundllasuser api function shell32.dll."
['TA0011'],['T1071'],['T1071.004'],"monitor dns traffic to/from known-bad suspicious domain analyze traffic flow follow expected protocol standard traffic flow (e.g extraneous packet belong established flows, gratuitous anomalous traffic patterns)."
['TA0006'],['T1555'],['T1555.001'],"monitor keychain service api calls, specifically legacy extension seckeychainfindinternetpassword, may collect keychain data system acquire credentials."
['TA0006'],['T1555'],['T1555.001'],monitor keychain file accessed may related malicious credential collection.
"['TA0002', 'TA0003', 'TA0004']",['T1053'],['T1053.007'],monitor kubernetes cronjob job creation using kubernetes api cli commands.
"['TA0003', 'TA0004']",['T1547'],['T1547.009'],"monitor lnk file created zone identifier value greater 1, may indicate lnk file originated outside network."
"['TA0003', 'TA0004']",['T1546'],['T1546.003'],"monitor mof file outside hklm\software\microsoft\wbem folder, almost legitimate mof file stored wbem folder."
"['TA0005', 'TA0004']",['T1484'],['T1484.002'],"monitor powershell command as: update-msolfederateddomain ?cdomainname: ""federated domain name"", update-msolfederateddomain ?cdomainname: ""federated domain name"" ?csupportmultipledomain."
['TA0009'],['T1185'],['T1185'],monitor process injection browser applications.
['TA0006'],['T1187'],['T1187'],"monitor smb traffic tcp port 139, 445 udp port 137 webdav traffic attempting exit network unknown external systems.if attempt detected, investigate endpoint data source find root cause."
['TA0005'],['T1070'],['T1070.001'],monitor window api call may clear window event log hide activity intrusion.
['TA0005'],['T1070'],['T1070.009'],monitor file may delete alter generated artifact associated persistence host system.
['TA0005'],['T1070'],['T1070'],"monitor file may delete alter generated artifact host system, including log captured file quarantined malware."
"['TA0005', 'TA0003', 'TA0006']",['T1556'],['T1556'],monitor abnormal api call nplogonnotify() may highlight malicious network provider dlls.
"['TA0005', 'TA0003', 'TA0006']",['T1556'],['T1556.008'],monitor abnormal api call nplogonnotify().
"['TA0003', 'TA0004']",['T1547'],['T1547.012'],monitor abnormal dlls loaded spoolsv.exe.
['TA0007'],['T1615'],['T1615'],monitor abnormal ldap query filter grouppolicycontainer high volume ldap traffic domain controllers.
['TA0010'],['T1020'],['T1020'],"monitor abnormal access file ( .pdf, .docx, .jpg, ), especially sensitive documents, use automated processing gathered collection."
['TA0005'],['T1036'],['T1036.008'],monitor abnormal command execution otherwise non-executable file type (such .txt .jpg).
['TA0005'],['T1562'],['T1562.012'],monitor abnormal execution syslog function associated system logging.
['TA0005'],['T1127'],['T1127'],"monitor abnormal presence utility enable proxy execution typically used development, debugging, reverse engineering system used purpose may suspicious."
"['TA0005', 'TA0003', 'TA0004']",['T1574'],['T1574.005'],monitor abnormal process call tree typical process service execution command could relate discovery adversary techniques.
['TA0005'],['T1211'],['T1211'],"monitor abnormal process creations, command scripting interpreter spawning potentially exploited application."
"['TA0005', 'TA0004']",['T1548'],['T1548.006'],monitor abnormal process executing application elevated access.
['TA0006'],['T1558'],['T1558.005'],monitor abnormal read access ccache file located /tmp directory system non-user processes.
"['TA0003', 'TA0004']",['T1546'],['T1546.012'],monitor abnormal usage gflags tool well common process spawned abnormal parent and/or creation flag indicative debugging debug_process debug_only_this_process.
['TA0006'],['T1003'],['T1003.003'],monitor access copy ntds.dit.
"['TA0005', 'TA0003', 'TA0006']",['T1556'],['T1556.007'],monitor access certificate cryptographic key material.
['TA0006'],['T1187'],['T1187'],monitor access file may indicate attempt coerce user providing authentication information.
['TA0007'],['T1654'],['T1654'],"monitor access system service log files, especially unexpected abnormal users."
['TA0007'],['T1614'],['T1614.001'],monitor access window registry key may attempt gather information system language victim order infer geographical location host.
"['TA0005', 'TA0003', 'TA0006']",['T1556'],['T1556.006'],monitor account authentication mfa credential provided user account authenticating entity.
"['TA0003', 'TA0004']",['T1098'],['T1098.003'],monitor account assigned admin role go certain threshold known admins.
"['TA0003', 'TA0004']",['T1098'],['T1098.007'],"monitor account assigned admin roles, window domain administrators, go certain threshold known admins."
"['TA0003', 'TA0004']",['T1098'],['T1098.006'],monitor account assigned high-privileged cluster role go certain threshold known admins.
"['TA0003', 'TA0004']",['T1547'],['T1547'],"monitor addition mechanism could used trigger autostart execution, relevant addition registry."
['TA0008'],['T1570'],['T1570'],monitor alike file hash characteristic (ex: filename) created multiple hosts.
"['TA0001', 'TA0005', 'TA0003', 'TA0004']",['T1078'],['T1078'],"monitor attempt user may obtain abuse credential existing account mean gaining initial access, persistence, privilege escalation, defense evasion."
"['TA0005', 'TA0008']",['T1550'],['T1550'],"monitor attempt user gain access network computing resource providing web credential (ex: window eid 1202) may use alternate authentication material, password hashes, kerberos tickets, application access tokens, order move laterally within environment bypass normal system access controls."
"['TA0001', 'TA0005', 'TA0003', 'TA0004']",['T1078'],['T1078.001'],"monitor attempt user gain access network computing resource, often providing credential"
['TA0005'],['T1070'],['T1070'],"monitor attempt user gain access network computing resource, often providing credential may delete alter generated artifact host system, including log captured file quarantined malware."
['TA0006'],['T1552'],['T1552'],"monitor attempt user gain access network computing resource, often providing credential may search compromised system find obtain insecurely stored credentials."
"['TA0005', 'TA0008']",['T1550'],['T1550'],"monitor attempt user gain access network computing resource, often providing credential may use alternate authentication material, password hashes, kerberos tickets, application access tokens, order move laterally within environment bypass normal system access controls."
['TA0006'],['T1539'],['T1539'],"monitor attempt user gain access network computing resource, often providing credential cloud service management consoles."
"['TA0001', 'TA0005', 'TA0003', 'TA0004']",['T1078'],['T1078.002'],"monitor attempt user gain access network computing resource, often use domain authentication services, system security service daemon (sssd) linux"
"['TA0001', 'TA0005', 'TA0003', 'TA0004']",['T1078'],['T1078.003'],"monitor attempt user gain access network computing resource, often use domain authentication services, system security service daemon (sssd) linux."
['TA0005'],['T1070'],['T1070.003'],"monitor attempt user gain access network computing resource, often providing credential via remote terminal services, corresponding entry command history file."
['TA0007'],['T1069'],['T1069'],monitor extracted list acls available group and/or associated settings.
['TA0007'],['T1518'],['T1518.001'],monitor extracted list available firewall and/or associated settings/rules (ex: azure network firewall cli show commands)
['TA0007'],['T1069'],['T1069.003'],monitor extracted list available group and/or associated setting
['TA0005'],['T1027'],"['T1027.014', 'T1027.013']","monitor analyze file contain content large entropy, may indicate potentially malicious compressed encrypted data."
['TA0006'],['T1558'],['T1558.003'],"monitor anomalous kerberos activity, enabling audit kerberos service ticket operation log kerberos tgs service ticket requests."
['TA0006'],['T1558'],"['T1558.001', 'T1558.002']","monitor anomalous kerberos activity, malformed blank field window logon/logoff event (event id 4624, 4634, 4672)."
['TA0006'],['T1558'],['T1558'],"monitor anomalous kerberos activity, malformed blank field window logon/logoff event (event id 4624, 4672, 4634), rc4 encryption within ticket granting ticket (tgts), ticket granting service (tgs) request without preceding tgt requests.monitor lifetime tgt ticket value differ default domain duration."
['TA0006'],['T1558'],['T1558.001'],"monitor anomalous kerberos activity, malformed blank field window logon/logoff event (event id 4769, 4768), rc4 encryption within tgts, tgs request without preceding tgt requests."
"['TA0005', 'TA0008']",['T1550'],['T1550.004'],monitor anomalous access website cloud-based application user different location different system match expected configurations.
['TA0006'],['T1558'],['T1558.004'],"monitor anomalous activity, enabling audit kerberos service ticket operation log kerberos tgs service ticket requests."
['TA0006'],['T1606'],['T1606'],"monitor anomalous authentication activity, logons user session activity associated unknown account and/or using saml token corresponding 4769 1200 event domain.. monitor unexpected abnormal access resources, including access website cloud-based application user different location different system match expected configurations."
['TA0006'],['T1606'],['T1606.001'],"monitor anomalous authentication activity, logons user session activity associated unknown accounts."
['TA0010'],['T1537'],['T1537'],monitor anomalous file transfer activity account untrusted vpcs.
['TA0010'],['T1537'],['T1537'],monitor anomalous file transfer activity account and/or untrusted/unexpected vpcs.
['TA0002'],['T1059'],"['T1059.001', 'T1059.005', 'T1059.011', 'T1059.007']",monitor attempt enable script running system would considered suspicious.
"['TA0006', 'TA0007', 'TA0002', 'TA0005', 'TA0010', 'TA0009']","['T1056', 'T1482', 'T1564', 'T1560', 'T1559', 'T1140', 'T1216', 'T1020', 'T1005', 'T1016', 'T1119', 'T1615', 'T1562']","['T1559.001', 'T1560.002', 'T1216.002', 'T1016', 'T1559.002', 'T1056.002', 'T1560.003', 'T1005', 'T1140', 'T1020', 'T1216.001', 'T1615', 'T1482', 'T1562.002', 'T1564.003', 'T1119']",monitor attempt enable script running system would considered suspicious.
['TA0008'],['T1021'],['T1021.003'],monitor influx abnormal increase dcom related distributed computing environment/remote procedure call (dce/rpc) traffic (typically port 135).
['TA0003'],['T1176'],['T1176'],monitor new item written registry pe file written disk.
['TA0011'],['T1219'],['T1219'],monitor application process related remote admin software.
['TA0005'],['T1620'],['T1620'],monitor artifact abnormal process execution.
['TA0006'],['T1539'],['T1539'],monitor attempt program inject dump browser process memory.
['TA0006'],['T1552'],['T1552.006'],monitor attempt access sysvol involve searching xml files.
['TA0006'],['T1649'],['T1649'],monitor attempt access file store information certificate associated private keys.
['TA0006'],['T1649'],['T1649'],monitor attempt access information stored registry certificate associated private keys.
['TA0007'],['T1652'],['T1652'],"monitor attempt access information stored registry device associated drivers, value hklm\system\currentcontrolset\services hklm\system\currentcontrolset\hardwareprofiles."
"['TA0005', 'TA0003', 'TA0006']",['T1556'],['T1556.006'],monitor attempt disable mfa individual user accounts.
"['TA0005', 'TA0003', 'TA0006']",['T1556'],['T1556'],monitor call openprocess used manipulate lsass.exe running domain controller well malicious modification function exported authentication-related system dlls (such cryptdll.dll samsrv.dll).
"['TA0005', 'TA0003', 'TA0004']",['T1574'],['T1574.001'],"monitor changed made .manifest/.local redirection files, file system moving, renaming, replacing, modifying dlls."
['TA0005'],['T1014'],['T1014'],"monitor change existence unrecognized dlls, drivers, devices, services, mbr."
['TA0005'],['T1562'],['T1562.007'],monitor change status cloud firewall.
['TA0005'],['T1562'],['T1562.004'],monitor change status system firewall window security auditing event 5025 (the window firewall service stopped) 5034 (the window firewall driver stopped).
['TA0040'],['T1486'],['T1486'],monitor change made cloud environment event indicate storage object anomalously modified.
"['TA0003', 'TA0004']",['T1037'],['T1037.003'],monitor change made active directory may use network logon script automatically executed logon initialization establish persistence.
"['TA0003', 'TA0004']",['T1037'],['T1037'],monitor change made active directory may use script automatically executed boot logon initialization establish persistence.
"['TA0005', 'TA0003']",['T1542'],['T1542'],monitor change made pre-os boot mechanism manipulated malicious purposes.
"['TA0005', 'TA0004']",['T1055'],['T1055.009'],monitor change made /proc file may inject malicious code process via /proc filesystem order evade process-based defense well possibly elevate privileges.
['TA0005'],['T1222'],['T1222'],monitor change made acls file/directory ownership.
"['TA0005', 'TA0003', 'TA0006']",['T1556'],['T1556.006'],"monitor change made ad security setting related mfa logon requirements, change azure ad conditional access policy registration new mfa applications."
"['TA0005', 'TA0004']",['T1484'],['T1484.002'],"monitor change made ad setting unexpected modification domain trust settings, user application modifies federation setting domain."
"['TA0040', 'TA0005', 'TA0004']","['T1531', 'T1484']","['T1484.001', 'T1531']","monitor change made ad setting unexpected modification user accounts, deletion potentially malicious change user attribute (credentials, status, )."
"['TA0005', 'TA0004']",['T1134'],['T1134'],monitor change made ad setting may modify access token operate different user system security context perform action bypass access controls.
['TA0005'],['T1222'],['T1222.001'],monitor change made dacls file/directory ownership.
['TA0005'],['T1562'],['T1562.001'],monitor change made window registry key and/or value related service startup program correspond security tool hklm:\software\policies\microsoft\windows defender.
['TA0005'],['T1564'],['T1564.006'],monitor change made window registry key and/or value may result using virtual instance avoid detection.
['TA0005'],['T1218'],['T1218'],monitor change made window registry key and/or value may forge credential material used gain access web application internet services.
"['TA0003', 'TA0004']",['T1543'],['T1543.003'],monitor change made window service repeatedly execute malicious payload part persistence.
['TA0005'],['T1070'],['T1070.009'],monitor change made file may delete alter generated artifact associated persistence host system.
['TA0005'],['T1070'],['T1070'],"monitor change made file may delete alter generated artifact host system, including log captured file quarantined malware."
['TA0040'],['T1485'],['T1485'],monitor change made large quantity file unexpected modification user directory c:\windows\system32.
['TA0005'],['T1070'],['T1070.003'],"monitor change made command history files, consolehost_history.txt, ~/.zsh_history, ~/.bash_history, unexpected modification contents, access permissions, attributes."
"['TA0005', 'TA0003', 'TA0006']",['T1556'],['T1556.009'],monitor change made conditional access policy used saas identity provider internal iaa identity access management systems.
"['TA0003', 'TA0004']",['T1098'],['T1098.004'],monitor change made detect change made authorized_keys file user system.
"['TA0009', 'TA0006']",['T1056'],['T1056.003'],monitor change made detect change file web directory organization login page match authorized update web server's content.
['TA0040'],['T1561'],"['T1561.002', 'T1561.001']","monitor change made drive letter mount point data storage device attempt read sensitive location like partition boot sector, master boot record, disk partition table, bios parameter block/superblock."
['TA0005'],['T1014'],['T1014'],"monitor change made drive letter mount point data storage device unexpected modification may used rootkits hide presence programs, files, network connections, services, drivers, system components."
['TA0005'],['T1140'],['T1140'],monitor change made file unexpected modification attempt hide artifacts.
"['TA0003', 'TA0004']",['T1037'],['T1037.005'],monitor change made file unexpected modification /library/startupitem folder
"['TA0003', 'TA0004']",['T1037'],['T1037.004'],monitor change made file unexpected modification rc script /etc/ directory
"['TA0005', 'TA0003', 'TA0004']",['T1574'],['T1574.002'],monitor change made file unexpected modification access permission attribute
"['TA0006', 'TA0004', 'TA0002', 'TA0009', 'TA0003']","['T1056', 'T1053']","['T1056', 'T1053.003']",monitor change made file unexpected modification access permission attributes.
['TA0005'],['T1036'],['T1036.003'],monitor change made file unexpected modification file name mismatched file name disk binary's pe metadata.
['TA0040'],['T1491'],['T1491'],monitor change made file unexpected modification internal external website unplanned content changes.
"['TA0003', 'TA0004']",['T1037'],['T1037.003'],monitor change made file unexpected modification unusual account outside normal administration duty
['TA0040'],['T1486'],['T1486'],monitor change made file user directories.
['TA0005'],['T1036'],['T1036'],monitor change made file outside update patch may attempt manipulate feature artifact make appear legitimate benign user and/or security tools.
"['TA0003', 'TA0004']",['T1098'],['T1098'],"monitor change made file related account settings, /etc/ssh/sshd_config authorized_keys file user system."
"['TA0003', 'TA0004']",['T1037'],['T1037'],monitor change made file modified unusual account outside normal administration duties.
['TA0003'],['T1137'],['T1137.006'],monitor change made file may abuse microsoft office add-in obtain persistence compromised system.
['TA0003'],['T1137'],['T1137.001'],monitor change made file may abuse microsoft office template obtain persistence compromised system.
['TA0003'],['T1505'],['T1505'],monitor change made file may abuse legitimate extensible development feature server establish persistent access systems.
"['TA0002', 'TA0003', 'TA0004']",['T1053'],['T1053'],monitor change made file may abuse task scheduling functionality facilitate initial recurring execution malicious code.
['TA0003'],['T1137'],['T1137.002'],"monitor change made file may abuse microsoft office ""office test"" registry key obtain persistence compromised system."
['TA0005'],['T1564'],['T1564'],monitor change made file may attempt hide artifact associated behavior evade detection.
['TA0003'],['T1505'],['T1505.003'],monitor change made file may backdoor web server web shell establish persistent access systems.
"['TA0003', 'TA0004']",['T1547'],['T1547'],monitor change made file may configure system setting automatically execute program system boot logon maintain persistence gain higher-level privilege compromised systems.
"['TA0003', 'TA0004']",['T1546'],['T1546.008'],monitor change made file may establish persistence and/or elevate privilege executing malicious content triggered accessibility features.
"['TA0003', 'TA0004']",['T1546'],['T1546.011'],monitor change made file may establish persistence and/or elevate privilege executing malicious content triggered application shims.
"['TA0003', 'TA0004']",['T1546'],['T1546'],monitor change made file may establish persistence and/or elevate privilege using system mechanism trigger execution based specific events.
"['TA0003', 'TA0004']",['T1546'],['T1546.005'],monitor change made file may establish persistence executing malicious content triggered interrupt signal.
"['TA0003', 'TA0004']",['T1546'],['T1546.002'],monitor change made file may establish persistence executing malicious content triggered user inactivity.
"['TA0005', 'TA0003', 'TA0004']",['T1574'],['T1574.009'],monitor change made file may execute malicious payload hijacking vulnerable file path references.
"['TA0005', 'TA0004']",['T1055'],['T1055'],monitor change made file may inject code process order evade process-based defense well possibly elevate privileges.
['TA0003'],['T1137'],['T1137'],monitor change made file may leverage microsoft office-based application persistence startups.
"['TA0003', 'TA0004']",['T1547'],['T1547.008'],monitor change made file may modify add lsass driver obtain persistence compromised systems.
"['TA0003', 'TA0004']",['T1547'],['T1547.006'],monitor change made file may modify kernel automatically execute program system boot.
"['TA0005', 'TA0004']",['T1548'],['T1548.001'],monitor change made file may perform shell escape exploit vulnerability application setsuid setgid bit get code running different user??s context.
['TA0040'],['T1489'],['T1489'],monitor change made file may stop disable service system render service unavailable legitimate users.
['TA0005'],['T1564'],['T1564.002'],monitor change made file may use hidden user mask presence user account create modify.
['TA0005'],['T1564'],['T1564.003'],monitor change made file may use hidden window conceal malicious activity plain sight users.
['TA0005'],['T1564'],['T1564'],monitor change made firewall rule unexpected modification allow/block specific network traffic may attempt hide artifact associated behavior evade detection.
['TA0005'],['T1562'],['T1562'],monitor change made firewall rule unexpected modification allow/block specific network traffic may maliciously modify component victim environment order hinder disable defensive mechanisms.
['TA0005'],['T1562'],['T1562.004'],monitor change made firewall rule might allow remote communication protocol smd rdp.
['TA0005'],['T1070'],['T1070.007'],"monitor change made firewall rules, especially unexpected modification may potentially related allowing and/or cleaning previous tampering enabled malicious network traffic."
['TA0005'],['T1014'],['T1014'],"monitor change made firmware unexpected modification setting and/or data may used rootkits hide presence programs, files, network connections, services, drivers, system components."
['TA0005'],['T1564'],['T1564.005'],monitor change made firmware unexpected modification setting and/or data may use hidden file system conceal malicious activity user security tools.
"['TA0005', 'TA0003']",['T1542'],['T1542.001'],monitor change made firmware.
['TA0005'],['T1070'],['T1070.008'],"monitor change made generated artifact host system, including log captured file quarantined emails."
"['TA0005', 'TA0003', 'TA0006']",['T1556'],['T1556.006'],monitor change made global multi-factor authentication setting identity-as-a-service providers.
"['TA0003', 'TA0004']",['T1543'],['T1543.001'],monitor change made launch agent repeatedly execute malicious payload part persistence.
"['TA0002', 'TA0005']",['T1610'],['T1610'],monitor change made pod unexpected modification setting and/or control data may deploy container environment facilitate execution evade defenses.
"['TA0005', 'TA0004']",['T1055'],['T1055.015'],monitor change made process may inject code process order evade process-based defense well possibly elevate privileges.
"['TA0005', 'TA0004']",['T1055'],['T1055.001'],monitor change made process may inject dynamic-link library (dlls) process order evade process-based defense well possibly elevate privileges.
"['TA0005', 'TA0004']",['T1055'],['T1055.003'],monitor change made process may inject malicious code hijacked process order evade process-based defense well possibly elevate privileges.
"['TA0005', 'TA0004']",['T1055'],['T1055.008'],monitor change made process may inject malicious code process via ptrace (process trace) system call order evade process-based defense well possibly elevate privileges.
"['TA0005', 'TA0004']",['T1055'],['T1055.004'],monitor change made process may inject malicious code process via asynchronous procedure call (apc) queue order evade process-based defense well possibly elevate privileges.
"['TA0005', 'TA0004']",['T1055'],['T1055.005'],monitor change made process may inject malicious code process via thread local storage (tls) callback order evade process-based defense well possibly elevate privileges.
"['TA0005', 'TA0004']",['T1055'],['T1055.012'],monitor change made process may inject malicious code suspended hollowed process order evade process-based defenses.
"['TA0005', 'TA0004']",['T1055'],['T1055.002'],monitor change made process may inject portable executables (pe) process order evade process-based defense well possibly elevate privileges.
['TA0005'],['T1036'],['T1036.004'],monitor change made scheduled job unexpected modification execution launch
['TA0005'],['T1036'],['T1036'],monitor change made scheduled job may attempt manipulate feature artifact make appear legitimate benign user and/or security tools.
['TA0005'],['T1070'],['T1070.009'],monitor change made scheduled job may attempt remove artifact host system.
"['TA0005', 'TA0003', 'TA0006']",['T1556'],['T1556'],monitor change made security setting related azure ad conditional access policies.
"['TA0005', 'TA0003', 'TA0006']",['T1556'],['T1556.009'],monitor change made security setting related entra id conditional access policies.
['TA0005'],['T1036'],['T1036.004'],"monitor change made service unexpected modification names, descriptions, and/or start type"
['TA0005'],['T1070'],['T1070.002'],"monitor change made system log files, typically stored /var/log /library/logs, unexpected modification access permission attribute"
"['TA0002', 'TA0003', 'TA0004']",['T1053'],['T1053.006'],"monitor change made systemd timer unit file unexpected modification event within /etc/systemd/system, /usr/lib/systemd/system/, ~/.config/systemd/user/ directories, well associated symbolic links."
['TA0006'],['T1187'],['T1187'],"monitor change made .lnk, .scf, file system within virtual environment contain resource point external network resources."
['TA0005'],['T1564'],['T1564.002'],monitor change made /library/preferences/com.apple.loginwindow plist file unexpected modification hide500users key value macos.
['TA0003'],['T1137'],['T1137.002'],monitor change made office test registry key.
"['TA0005', 'TA0003', 'TA0006']",['T1556'],['T1556.004'],monitor change made checksum operating system file verifying image operating system memory.
['TA0040'],['T1495'],['T1495'],monitor change made firmware unexpected modification setting and/or data.
['TA0005'],['T1601'],['T1601.002'],"monitor change made operating system network device image downgrade may used conjunction with? patch system image, may appropriate also verify integrity vendor provided operating system image file."
['TA0040'],['T1531'],['T1531'],"monitor change made user account unexpected modification properties, password status (enabled/disabled)."
['TA0005'],['T1562'],['T1562.004'],monitor change made window registry key and/or value adversary might use disable modify system firewall setting hkey_local_machine\system\currentcontrolset\services\sharedaccess\parameters\firewallpolicy.
['TA0005'],['T1564'],['T1564.002'],monitor change made window registry key value unexpected modification hklm\software\microsoft\windows nt\currentversion\winlogon\specialaccounts\userlist key.
"['TA0003', 'TA0004']",['T1547'],['T1547.003'],monitor change made window registry key and/or value modifying w32time information registry.
['TA0002'],['T1569'],['T1569'],monitor change made window registry key and/or value may abuse system service daemon execute command programs.
['TA0002'],['T1569'],['T1569.002'],monitor change made window registry key and/or value may abuse window service control manager execute malicious command payloads.
['TA0005'],['T1564'],['T1564'],monitor change made window registry key and/or value may attempt hide artifact associated behavior evade detection.
"['TA0003', 'TA0004']",['T1546'],['T1546'],monitor change made window registry key and/or value may establish persistence and/or elevate privilege using system mechanism trigger execution based specific events.
"['TA0005', 'TA0003', 'TA0004']",['T1574'],['T1574'],monitor change made window registry key and/or value may execute malicious payload hijacking way operating system run programs.
['TA0040'],['T1489'],['T1489'],monitor change made window registry key and/or value may stop disable service system render service unavailable legitimate users.
['TA0005'],['T1564'],['T1564.005'],monitor change made window registry key and/or value may use hidden file system conceal malicious activity user security tools.
"['TA0009', 'TA0006']",['T1056'],['T1056.001'],monitor change made window registry key value unexpected modification
['TA0005'],['T1070'],['T1070.009'],monitor change made window registry key value may delete alter generated artifact associated persistence host system.
['TA0005'],['T1070'],['T1070'],"monitor change made window registry key value may delete alter generated artifact host system, including log captured file quarantined malware."
['TA0005'],['T1112'],['T1112'],monitor change made window registry key values.
"['TA0005', 'TA0003']",['T1542'],['T1542.002'],monitor change may reveal indicator malicious firmware strings.
"['TA0003', 'TA0004']",['T1546'],['T1546.004'],"monitor change /etc/profile /etc/profile.d, file modified system administrators."
['TA0006'],['T1649'],['T1649'],"monitor change ca attribute settings, ad c certificate template modification (ex: eid 4899/4900 potentially malicious certificate enrolled)."
"['TA0005', 'TA0003']",['T1542'],['T1542.003'],monitor change mbr vbr occur indicator suspicious activity analysis.
"['TA0003', 'TA0004']",['T1547'],['T1547.004'],"monitor change registry entry associated winlogon correlate known software, patch cycles, tool sysinternals autoruns may also used detect system change could attempt persistence, including listing current winlogon helper values."
['TA0006'],['T1003'],['T1003.001'],monitor change registry entry associated credential access stored process memory lsass.
"['TA0005', 'TA0003', 'TA0006']",['T1556'],['T1556.008'],"monitor change registry entry network provider (, hkey_local_machine\system\currentcontrolset\control\networkprovider\order) correlate investigate dll file value reference."
"['TA0005', 'TA0003', 'TA0006']",['T1556'],['T1556.002'],monitor change registry entry password filter (ex: hkey_local_machine\system\currentcontrolset\control\lsa\notification packages) correlate investigate dll file file reference.
['TA0005'],['T1070'],['T1070.007'],monitor change registry key (ex: hkey_current_user\software\microsoft\terminal server client\default) associated value may malicious attempt conceal adversary network connection history.
['TA0003'],['T1505'],['T1505.005'],monitor change registry key associated servicedll subkey value hklm\system\currentcontrolset\services\termservice\parameters\.
['TA0040'],['T1496'],['T1496.004'],"monitor change saas services, especially quota raised new service enabled."
